index,tweet_id,timestamp,source,rating_numerator,rating_denominator,name,Full_text,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_count,favorite_count,text_len
0,892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,13.0,10.0,Phineas,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut.  ,1,orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False,7759,36489,85
1,892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,13.0,10.0,Tilly,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.  ",1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,5752,31449,138
2,891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,12.0,10.0,Archie,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.  ,1,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,3808,23699,121
3,891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,13.0,10.0,Darla,This is Darla. She commenced a snooze mid meal.  happens to the best of us ,1,paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False,7926,39825,79
4,891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,12.0,10.0,Franklin,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.  #BarkWeek ",2,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True,8555,38021,138
5,891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,13.0,10.0,None,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.  (IG: tucker_marlo) #BarkWeek ,1,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False,2859,19137,138
6,890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,13.0,10.0,Jax,"Meet Jax. He enjoys ice cream so much he gets nervous around it.  help Jax enjoy more things by clicking below

",1,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,1868,11143,140
7,890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,13.0,10.0,None,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.  ,2,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True,17324,61534,118
8,890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,13.0,10.0,Zoey,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.  #BarkWeek ,1,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,3944,26357,122
9,890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,14.0,10.0,Cassie,This is Cassie. She is a college pup. Studying international doggo communication and stick theory.  so elegant much sophisticate ,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,6750,30129,133
10,890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,13.0,10.0,Koda,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic.  would risk a petting #BarkWeek ,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,6743,29001,130
11,889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,13.0,10.0,Bruno,This is Bruno. He is a service shark. Only gets out of the water to assist you.  terrifyingly good boy ,1,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False,4586,26353,107
12,889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,13.0,10.0,None,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her.  ,1,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True,9194,45414,106
13,889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,12.0,10.0,Ted,This is Ted. He does his best. Sometimes that's not enough. But it's ok.  would assist ,1,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True,4125,25567,91
14,889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,13.0,10.0,Stuart,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only.  puppared puppo #BarkWeek ,1,golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,redbone,0.00795775,True,2075,14294,118
